id,name,code,parent_id/id,type,user_type/id,reconcile
thai_rjc_42100,ดอกเบี้ยรับ,42100,thai_rjc_42000,Regular,account.data_account_type_income,FALSE
thai_rjc_42200,กำไรจากการจำหน่ายสินทรัพย์,42200,thai_rjc_42000,Regular,account.data_account_type_income,FALSE
thai_rjc_42300,กำไรจากอัตราแลกเปลี่ยนที่เกิดขึ้นจริง,42300,thai_rjc_42000,Regular,account.data_account_type_income,FALSE
thai_rjc_42310,กำไรจากอัตราแลกเปลี่ยนที่ไม่เกิดขึ้นจริง,42310,thai_rjc_42000,Regular,account.data_account_type_income,FALSE
thai_rjc_42900,รายได้อื่น,42900,thai_rjc_42000,Regular,account.data_account_type_income,FALSE
thai_rjc_50000,ต้นทุนขาย,50000,thai_rjc_2,View,account.data_account_type_view,FALSE
thai_rjc_51100,ต้นทุนขาย,51100,thai_rjc_50000,Regular,account.data_account_type_cost_of_goods_sold,FALSE
thai_rjc_51110,ต้นทุนการผลิต,51110,thai_rjc_50000,Regular,account.data_account_type_cost_of_goods_sold,FALSE
thai_rjc_51120,เศษซาก,51120,thai_rjc_50000,Regular,account.data_account_type_cost_of_goods_sold,FALSE
thai_rjc_51130,ค่าจ้างทำของ,51130,thai_rjc_50000,Regular,account.data_account_type_cost_of_goods_sold,FALSE
thai_rjc_51200,ค่าใช้จ่ายในการผลิต,51200,thai_rjc_50000,Regular,account.data_account_type_cost_of_goods_sold,FALSE
thai_rjc_51210,บัญชีปรับปรุงต้นทุน,51210,thai_rjc_50000,Regular,account.data_account_type_cost_of_goods_sold,FALSE
thai_rjc_52000,ต้นทุนการให้บริการ,52000,thai_rjc_50000,Regular,account.data_account_type_cost_of_goods_sold,FALSE
thai_rjc_53000,ส่วนลดการค้าจากการซื้อ,53000,thai_rjc_50000,Regular,account.data_account_type_cost_of_goods_sold,FALSE
thai_rjc_53100,ส่วนลดรับ,53100,thai_rjc_50000,Regular,account.data_account_type_cost_of_goods_sold,FALSE
thai_rjc_53200,ส่งคืนสินค้า,53200,thai_rjc_50000,Regular,account.data_account_type_cost_of_goods_sold,FALSE
thai_rjc_53300,ค่าใช้จ่ายในการนำเข้า,53300,thai_rjc_50000,Regular,account.data_account_type_cost_of_goods_sold,FALSE
thai_rjc_53400,ค่าหีบห่อ,53400,thai_rjc_50000,Regular,account.data_account_type_cost_of_goods_sold,FALSE
thai_rjc_54000,ค่าแรงงานทางตรง,54000,thai_rjc_50000,View,account.data_account_type_view,FALSE
thai_rjc_54100,เงินเดือนโรงงาน,54100,thai_rjc_54000,Regular,account.data_account_type_cost_of_goods_sold,FALSE
thai_rjc_54110,ค่าจ้างแรงงานโรงงาน,54110,thai_rjc_54000,Regular,account.data_account_type_cost_of_goods_sold,FALSE
thai_rjc_54120,ค่าล่วงเวลาโรงงาน,54120,thai_rjc_54000,Regular,account.data_account_type_cost_of_goods_sold,FALSE
thai_rjc_54130,ค่าเบี้ยเลี้ยงโรงงาน,54130,thai_rjc_54000,Regular,account.data_account_type_cost_of_goods_sold,FALSE
thai_rjc_54140,ค่าโบนัสโรงงาน,54140,thai_rjc_54000,Regular,account.data_account_type_cost_of_goods_sold,FALSE
thai_rjc_54150,ค่าแรงงานเหมาโรงงาน,54150,thai_rjc_54000,Regular,account.data_account_type_cost_of_goods_sold,FALSE
thai_rjc_54160,ค่าจ้างเบ็ดเตล็ดโรงงาน,54160,thai_rjc_54000,Regular,account.data_account_type_cost_of_goods_sold,FALSE
