id,partner_id,partner_invoice_id,partner_shipping_id,name,date_order,pricelist_id/id,order_line/sequence,order_line/type,order_line/name,order_line/product_id,order_line/product_uom_qty,order_line/salesman_id/id,order_line/price_unit,order_line/product_uom
sale_order_1005979,เอกชัยจักรยาน,เอกชัยจักรยาน,เอกชัยจักรยาน,1003674,2012-12-17,product.list0,60,from stock,N/A,MSA20B,2,base.user_root,1479,คัน
sale_order_1005979,เอกชัยจักรยาน,เอกชัยจักรยาน,เอกชัยจักรยาน,1003674,2012-12-17,product.list0,70,from stock,N/A,MSA20K,1,base.user_root,1479,คัน
sale_order_1006267,เอกชัยจักรยาน,เอกชัยจักรยาน,เอกชัยจักรยาน,1003962,2013-01-09,product.list0,20,from stock,N/A,MSL20K,10,base.user_root,1360,คัน
sale_order_1006267,เอกชัยจักรยาน,เอกชัยจักรยาน,เอกชัยจักรยาน,1003962,2013-01-09,product.list0,30,from stock,N/A,MSL20B,10,base.user_root,1360,คัน
sale_order_1006267,เอกชัยจักรยาน,เอกชัยจักรยาน,เอกชัยจักรยาน,1003962,2013-01-09,product.list0,40,from stock,N/A,MSL20R,10,base.user_root,1360,คัน
sale_order_1006195,สหชัยวิทยุจักรยาน (ABC),สหชัยวิทยุจักรยาน (ABC),สหชัยวิทยุจักรยาน (ABC),1003890,2013-01-04,product.list0,10,from stock,N/A,MSL20R,3,base.user_root,1360,คัน
sale_order_1006195,สหชัยวิทยุจักรยาน (ABC),สหชัยวิทยุจักรยาน (ABC),สหชัยวิทยุจักรยาน (ABC),1003890,2013-01-04,product.list0,20,from stock,N/A,MSL20K,3,base.user_root,1360,คัน
sale_order_1006195,สหชัยวิทยุจักรยาน (ABC),สหชัยวิทยุจักรยาน (ABC),สหชัยวิทยุจักรยาน (ABC),1003890,2013-01-04,product.list0,30,from stock,N/A,MSL20B,4,base.user_root,1360,คัน
sale_order_1006121,ไก่นาฬิกา,ไก่นาฬิกา,ไก่นาฬิกา,1003816,2012-12-26,product.list0,10,from stock,N/A,MSL20R,4,base.user_root,1360,คัน
sale_order_1006121,ไก่นาฬิกา,ไก่นาฬิกา,ไก่นาฬิกา,1003816,2012-12-26,product.list0,20,from stock,N/A,MSL20K,3,base.user_root,1360,คัน
sale_order_1006121,ไก่นาฬิกา,ไก่นาฬิกา,ไก่นาฬิกา,1003816,2012-12-26,product.list0,30,from stock,N/A,MSL20B,3,base.user_root,1360,คัน
